sep=;
Timestamp [us];Power measure [W]
4245319.000000;147.0070
4250599.000000;147.0070
4255874.000000;147.0070
4261114.000000;147.0070
4266364.000000;147.1420
4271606.000000;147.1420
4276865.000000;147.1420
4282149.000000;147.1420
4287423.000000;147.1420
4292679.000000;147.1420
4297940.000000;147.1420
4303756.000000;147.1420
4309412.000000;147.1420
4314675.000000;147.1420
4320346.000000;147.1420
4325659.000000;147.1420
4330944.000000;147.1420
4336222.000000;147.1420
4341454.000000;147.1420
4346770.000000;147.1420
4352014.000000;147.1420
4357291.000000;147.1420
4362611.000000;147.1420
4367878.000000;147.2310
4373254.000000;147.2310
4378489.000000;147.2310
4383733.000000;147.2310
4389062.000000;147.2310
4394345.000000;147.2310
4399625.000000;147.2310
4404821.000000;147.2310
4410143.000000;147.2310
4415405.000000;147.2310
4420902.000000;147.2310
4426167.000000;147.2310
4431461.000000;147.2310
4436752.000000;147.2310
4442075.000000;147.2310
4447314.000000;147.2310
4452605.000000;147.2310
4457864.000000;147.2310
4463194.000000;147.2310
4468471.000000;147.2310
4473748.000000;147.3000
4479025.000000;147.3000
4484286.000000;147.3000
4489539.000000;147.3000
4495007.000000;147.3000
4500266.000000;147.3000
4505527.000000;147.3000
4510818.000000;147.3000
4516357.000000;147.3000
4521700.000000;147.3000
4526949.000000;147.3000
4532204.000000;147.3000
4537524.000000;147.3000
4542812.000000;147.3000
4548070.000000;147.3000
4553325.000000;147.3000
4558653.000000;147.3000
4563899.000000;147.3000
4569209.000000;147.3000
4574472.000000;147.5130
4579764.000000;147.5130
4585072.000000;147.5130
4590505.000000;147.5130
4595768.000000;147.5130
4601079.000000;147.5130
4606337.000000;147.5130
4611620.000000;147.5130
4616921.000000;147.5130
4622242.000000;147.5130
4627504.000000;147.5130
4632759.000000;147.5130
4638245.000000;147.5130
4643506.000000;147.5130
4648769.000000;147.5130
4654031.000000;147.5130
4659407.000000;147.5130
4664660.000000;147.5130
4669927.000000;147.5130
4675206.000000;147.5130
4680522.000000;147.5710
4685786.000000;147.5710
4691035.000000;147.5710
4696324.000000;147.5710
4702211.000000;147.5710
4707666.000000;147.5710
4712926.000000;147.5710
4718194.000000;147.5710
4723496.000000;147.5710
4729033.000000;147.5710
4734320.000000;147.5710
4739588.000000;147.5710
4744855.000000;147.5710
4750214.000000;147.5710
4756139.000000;147.5710
4761375.000000;147.5710
4766735.000000;147.5710
4772034.000000;147.5710
4777393.000000;147.5710
4782666.000000;147.8050
4787932.000000;147.8050
4793224.000000;147.8050
4798546.000000;147.8050
4803791.000000;147.8050
4809108.000000;147.8050
4814317.000000;147.8050
4819727.000000;147.8050
4825043.000000;147.8050
4830290.000000;147.8050
4835590.000000;147.8050
4841103.000000;147.8050
4846397.000000;147.8050
4851672.000000;147.8050
4857027.000000;147.8050
4862294.000000;147.8050
4867770.000000;147.8050
4873089.000000;147.8050
4878349.000000;147.8050
4883631.000000;147.8050
4888947.000000;147.7650
4894255.000000;147.7650
4899516.000000;147.7650
4904785.000000;147.7650
4910097.000000;147.7650
4915535.000000;147.7650
4920797.000000;147.7650
4926079.000000;147.7650
4931357.000000;147.7650
4936662.000000;147.7650
4942125.000000;147.7650
4947446.000000;147.7650
4952709.000000;147.7650
4958000.000000;147.7650
4963457.000000;147.7650
4968728.000000;147.7650
4973993.000000;147.7650
4979258.000000;147.7650
4984695.000000;147.7650
4990036.000000;147.7880
4995419.000000;147.7880
5000754.000000;147.7880
5006036.000000;147.7880
5011549.000000;147.7880
5016840.000000;147.7880
5022128.000000;147.7880
5027360.000000;147.7880
5032860.000000;147.7880
5038138.000000;147.7880
5043409.000000;147.7880
5048676.000000;147.7880
5054174.000000;147.7880
5059441.000000;147.7880
5064704.000000;147.7880
5070014.000000;147.7880
5075577.000000;147.7880
5080904.000000;147.7880
5086216.000000;147.7880
5091481.000000;147.9310
5096744.000000;147.9310
5102073.000000;147.9310
5107336.000000;147.9310
5112602.000000;147.9310
5117866.000000;147.9310
5123356.000000;147.9310
5128705.000000;147.9310
5133975.000000;147.9310
5139294.000000;147.9310
5144595.000000;147.9310
5149903.000000;147.9310
5155179.000000;147.9310
5160447.000000;147.9310
5165719.000000;147.9310
5171002.000000;147.9310
5176317.000000;147.9310
5181589.000000;147.9310
5186900.000000;147.9310
5192170.000000;147.9310
5197600.000000;148.0170
5202895.000000;148.0170
5208186.000000;148.0170
5213450.000000;148.0170
5219192.000000;148.0170
5224516.000000;148.0170
5229827.000000;148.0170
5235127.000000;148.0170
5240571.000000;148.0170
5245870.000000;148.0170
5251137.000000;148.0170
5256392.000000;148.0170
5261917.000000;148.0170
5267208.000000;148.0170
5272471.000000;148.0170
5277769.000000;148.0170
5283054.000000;148.0170
5288300.000000;148.0170
5293612.000000;148.0170
5298931.000000;148.1210
5304197.000000;148.1210
5309476.000000;148.1210
5314790.000000;148.1210
5320053.000000;148.1210
5325348.000000;148.1210
5330616.000000;148.1210
5336062.000000;148.1210
5341326.000000;148.1210
5346652.000000;148.1210
5351934.000000;148.1210
5357381.000000;148.1210
5362682.000000;148.1210
5367973.000000;148.1210
5373297.000000;148.1210
5378569.000000;148.1210
5383830.000000;148.1210
5389152.000000;148.1210
5394424.000000;148.1210
5399658.000000;148.1210
5404925.000000;148.2780
5410473.000000;148.2780
5415745.000000;148.2780
5421078.000000;148.2780
5426347.000000;148.2780
5431782.000000;148.2780
5437095.000000;148.2780
5442366.000000;148.2780
5447675.000000;148.2780
5453000.000000;148.2780
5458252.000000;148.2780
5463479.000000;148.2780
5468745.000000;148.2780
5474006.000000;148.2780
5479270.000000;148.2780
5484648.000000;148.2780
5489915.000000;148.2780
5495185.000000;148.2780
5500457.000000;148.2780
5505782.000000;148.2010
5511233.000000;148.2010
5516504.000000;148.2010
5521786.000000;148.2010
5527040.000000;148.2010
5532294.000000;148.2010
5537803.000000;148.2010
5543092.000000;148.2010
5548406.000000;148.2010
5553742.000000;148.2010
5559200.000000;148.2010
5564421.000000;148.2010
5569652.000000;148.2010
5574877.000000;148.2010
5580326.000000;148.2010
5585573.000000;148.2010
5590817.000000;148.2010
5596146.000000;148.2010
5601427.000000;148.2010
5606701.000000;148.2010
5611947.000000;148.3200
5617248.000000;148.3200
5622539.000000;148.3200
5627761.000000;148.3200
5633199.000000;148.3200
5638512.000000;148.3200
5643756.000000;148.3200
5649104.000000;148.3200
5654564.000000;148.3200
5659888.000000;148.3200
5665164.000000;148.3200
5670412.000000;148.3200
5675710.000000;148.3200
5681201.000000;148.3200
5686451.000000;148.3200
5691718.000000;148.3200
5696988.000000;148.3200
5702503.000000;148.3200
5707796.000000;148.3200
5717071.000000;148.3680
5722351.000000;148.3680
5727640.000000;148.3680
5733059.000000;148.3680
5738373.000000;148.3680
5743850.000000;148.3680
5749137.000000;148.3680
5754420.000000;148.3680
5759739.000000;148.3680
5765067.000000;148.3680
5770529.000000;148.3680
5775860.000000;148.3680
5781169.000000;148.3680
5786445.000000;148.3680
5791892.000000;148.3680
5797208.000000;148.3680
5802517.000000;148.3680
5807828.000000;148.3680
5813151.000000;148.3680
5818448.000000;148.2670
5823728.000000;148.2670
5829074.000000;148.2670
5834344.000000;148.2670
5839618.000000;148.2670
5845001.000000;148.2670
5850274.000000;148.2670
5855546.000000;148.2670
5860819.000000;148.2670
5866298.000000;148.2670
5871522.000000;148.2670
5876754.000000;148.2670
5882029.000000;148.2670
5887330.000000;148.2670
5892622.000000;148.2670
5897915.000000;148.2670
5903173.000000;148.2670
5908425.000000;148.2670
5913681.000000;148.2670
5919152.000000;148.5590
5924375.000000;148.5590
5929623.000000;148.5590
5934865.000000;148.5590
5940471.000000;148.5590
5945739.000000;148.5590
5951067.000000;148.5590
5956360.000000;148.5590
5961655.000000;148.5590
5966977.000000;148.5590
5972248.000000;148.5590
5977517.000000;148.5590
5982792.000000;148.5590
5988091.000000;148.5590
5993509.000000;148.5590
5998805.000000;148.5590
6004457.000000;148.5590
6009942.000000;148.5590
6015594.000000;148.5590
6021248.000000;148.5760
6026615.000000;148.5760
6032185.000000;148.5760
6037598.000000;148.5760
6043128.000000;148.5760
6048435.000000;148.5760
6053763.000000;148.5760
6059041.000000;148.5760
6064326.000000;148.5760
6069616.000000;148.5760
6074904.000000;148.5760
6080149.000000;148.5760
6085426.000000;148.5760
6090696.000000;148.5760
6096154.000000;148.5760
6101489.000000;148.5760
6106762.000000;148.5760
6112115.000000;148.5760
6117562.000000;148.5760
6122938.000000;148.5760
6128214.000000;148.4490
6133495.000000;148.4490
6138929.000000;148.4490
6144302.000000;148.4490
6149618.000000;148.4490
6154955.000000;148.4490
6160285.000000;148.4490
6165659.000000;148.4490
6170938.000000;148.4490
6176217.000000;148.4490
6181489.000000;148.4490
6186924.000000;148.4490
6192215.000000;148.4490
6197489.000000;148.4490
6202786.000000;148.4490
6208396.000000;148.4490
6213648.000000;148.4490
6218941.000000;148.4490
6224222.000000;148.4490
6229646.000000;148.5230
6234917.000000;148.5230
6240190.000000;148.5230
6245510.000000;148.5230
6250790.000000;148.5230
6256097.000000;148.5230
6261423.000000;148.5230
