sep=;
Timestamp [us];Power measure [W]
3867714.000000;146.2640
3873475.000000;146.2640
3879424.000000;146.2640
3885211.000000;146.2640
3891254.000000;146.2640
3897049.000000;146.2640
3903144.000000;146.2640
3908941.000000;146.2640
3915077.000000;146.2640
3920920.000000;146.2640
3926680.000000;146.2700
3932502.000000;146.2700
3938585.000000;146.2700
3944435.000000;146.2700
3950598.000000;146.2700
3956376.000000;146.2700
3962461.000000;146.2700
3968370.000000;146.2700
3974403.000000;146.2700
3980203.000000;146.2700
3986462.000000;146.2700
3992400.000000;146.2700
3998178.000000;146.2700
4003997.000000;146.2700
4009834.000000;146.2700
4015793.000000;146.2700
4021554.000000;146.2700
4027420.000000;146.3960
4033209.000000;146.3960
4039210.000000;146.3960
4045013.000000;146.3960
4051166.000000;146.3960
4057097.000000;146.3960
4062934.000000;146.3960
4068882.000000;146.3960
4074697.000000;146.3960
4080617.000000;146.3960
4086822.000000;146.3960
4092713.000000;146.3960
4098676.000000;146.3960
4104532.000000;146.3960
4110550.000000;146.3960
4116407.000000;146.3960
4122567.000000;146.3960
4128399.000000;146.3170
4134346.000000;146.3170
4140334.000000;146.3170
4146318.000000;146.3170
4152248.000000;146.3170
4158133.000000;146.3170
4163900.000000;146.3170
4169967.000000;146.3170
4175781.000000;146.3170
4181945.000000;146.3170
4187760.000000;146.3170
4193758.000000;146.3170
4199521.000000;146.3170
4205500.000000;146.3170
4211302.000000;146.3170
4217107.000000;146.3170
4222887.000000;146.3170
4228740.000000;146.3170
4234702.000000;146.3510
4240555.000000;146.3510
4246566.000000;146.3510
4252373.000000;146.3510
4258321.000000;146.3510
4264094.000000;146.3510
4270131.000000;146.3510
4276014.000000;146.3510
4281842.000000;146.3510
4287713.000000;146.3510
4293552.000000;146.3510
4299363.000000;146.3510
4305299.000000;146.3510
4311184.000000;146.3510
4316981.000000;146.3510
4322846.000000;146.3510
4328699.000000;146.3510
4334704.000000;146.1900
4340553.000000;146.1900
4346715.000000;146.1900
4352669.000000;146.1900
4358540.000000;146.1900
4364438.000000;146.1900
4370505.000000;146.1900
4376361.000000;146.1900
4382600.000000;146.1900
4388473.000000;146.1900
4394435.000000;146.1900
4400274.000000;146.1900
4406412.000000;146.1900
4412283.000000;146.1900
4418401.000000;146.1900
4424270.000000;146.1900
4430091.000000;146.1900
4435987.000000;146.1900
4441936.000000;146.3170
4447751.000000;146.3170
